alert_type,detail,layer,location,new_commit,new_date,old_commit,old_date,pair_id,path,severity
schema_field_added,New schema property added.,non_breaking,Account.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,Account.status,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,BusinessDetails.registrationNumber,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,CreateAccountHolderRequest.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,CreateAccountHolderRequest.primaryCurrency,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,CreateAccountHolderResponse.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,CreateAccountHolderResponse.legalEntity,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,CreateAccountRequest.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,CreateAccountResponse.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,GetAccountHolderRequest.showDetails,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,GetAccountHolderResponse.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,GetAccountHolderResponse.primaryCurrency,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,UpdateAccountHolderRequest.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,UpdateAccountHolderRequest.primaryCurrency,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,UpdateAccountHolderResponse.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,UpdateAccountHolderResponse.legalEntity,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,UpdateAccountRequest.description,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_added,New schema property added.,non_breaking,UpdateAccountResponse.description,4,,3,,pair_0001,adyen.com:AccountService,low
