alert_type,detail,label_options,layer,location,manual_label,manual_notes,new_commit,new_date,old_commit,old_date,pair_id,path,severity
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,OAuth2AuthorizationServerUpdateContract.tokenBodyParameters,potentially_breaking,Heuristic: compatibility-risk schema change.,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TimeOfDayRestriction.operation,non_breaking,Heuristic: additive non-breaking alert layer.,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,TextOptions.ResultEnabled,potentially_breaking,Heuristic: compatibility-risk schema change.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,InvalidRequestContentException.Type,potentially_breaking,Heuristic: compatibility-risk schema change.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateAccountHolderResponse.primaryCurrency,non_breaking,Heuristic: additive non-breaking alert layer.,5,,4,,pair_0018,adyen.com:MarketPayNotificationService,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /v20190125/meshes/{meshName},non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,SourceDataTrimTitle.Language,potentially_breaking,Heuristic: compatibility-risk schema change.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DeleteItemInput.ExpressionAttributeValues,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,LocalSecondaryIndexDescription.KeySchema,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,KYCLegalArrangementCheckResult.legalArrangementCode,non_breaking,Heuristic: additive non-breaking alert layer.,6,,5,,pair_0003,adyen.com:AccountService,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /2018-06-18/distribution/{Id},non_breaking,Heuristic: additive non-breaking alert layer.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,POST /#X-Amz-Target=DynamoDB_20120810.Query,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,BackupSummary.TableArn,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PUT /2015-03-31/functions/{FunctionName}/code,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,PUT /meshes/{meshName}/virtualNodes,true_breaking,Heuristic: removed operation is breaking for existing callers.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,DELETE /subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/apis/{apiId}/operations/{operationId}/policy,true_breaking,Heuristic: removed operation is breaking for existing callers.,2017-03-01,,2016-10-10,,pair_0059,azure.com:apimanagement-apimapis,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,PersonalData.idNumber,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,FieldLevelEncryptionProfileAlreadyExists.Message,non_breaking,Heuristic: additive non-breaking alert layer.,2017-10-30,,2017-03-25,,pair_0037,amazonaws.com:cloudfront,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /2018-06-18/streaming-distribution/{Id},non_breaking,Heuristic: additive non-breaking alert layer.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DescribeDBLogFilesDetails.Size,non_breaking,Heuristic: additive non-breaking alert layer.,2013-02-12,,2013-01-10,,pair_0042,amazonaws.com:rds,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,LimitExceededException.Message,potentially_breaking,Heuristic: compatibility-risk schema change.,2017-01-11,,2016-05-10,,pair_0035,amazonaws.com:clouddirectory,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /2017-10-30/distributionsByWebACLId/{WebACLId},true_breaking,Heuristic: removed operation is breaking for existing callers.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AccountInfo.paymentAccountAge,non_breaking,Heuristic: additive non-breaking alert layer.,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CALocalAccountIdentification.accountNumber,non_breaking,Heuristic: additive non-breaking alert layer.,3,,2,,pair_0033,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ProcessingTypesRestriction.value,non_breaking,Heuristic: additive non-breaking alert layer.,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,FunctionConfiguration.DeadLetterConfig,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GetItemInput.ExpressionAttributeNames,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrpcRouteMetadataMatchMethod.exact,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CreateAccountHolderRequest.description,non_breaking,Heuristic: additive non-breaking alert layer.,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,AddEventSourceRequest.Parameters,potentially_breaking,Heuristic: compatibility-risk schema change.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,EventSourceMappingConfiguration.TumblingWindowInSeconds,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /2018-06-18/field-level-encryption/{Id}/config,non_breaking,Heuristic: additive non-breaking alert layer.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,low
deep_enum_signature_removed,paths./#Action=CreateDomain.post.parameters[1].schema:2011-02-01,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PutFunctionEventInvokeConfigRequest.DestinationConfig,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,RefundNotPaidOutTransfersResponse.invalidFields,non_breaking,Heuristic: additive non-breaking alert layer.,5,,3,,pair_0011,adyen.com:FundService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /documents/{id},true_breaking,Heuristic: removed operation is breaking for existing callers.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
