index,dataset,api_name,version,title,target_keyword_match,source_url,local_path,retrieved_at,status,error,sha256,bytes
1,apis_guru,1forge.com,0.0.1,1Forge Finance APIs,True,https://api.apis.guru/v2/specs/1forge.com/0.0.1/swagger.json,data/apis_guru/specs/0001_1forge.com_0.0.1.json,2026-06-02T02:51:24+00:00,ok,,fb1f64450ecb41864d7465a9eb1b5387eb05644f52189f1af527c8d002245f4e,2052
2,apis_guru,abstractapi.com:geolocation,1.0.0,IP geolocation API,True,https://api.apis.guru/v2/specs/abstractapi.com/geolocation/1.0.0/openapi.json,data/apis_guru/specs/0002_abstractapi.com_geolocation_1.0.0.json,2026-06-02T02:51:24+00:00,ok,,5f6e8c821cc406727963c89fcd62b5fdf145029fee58c179058ce9b8ad6196d7,6998
3,apis_guru,adafruit.com,2.0.0,Adafruit IO REST API,True,https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json,data/apis_guru/specs/0003_adafruit.com_2.0.0.json,2026-06-02T02:51:25+00:00,ok,,f778bda6c8cb627ca1539412d75515997288efb7b776343b561470a1481e345d,111153
4,apis_guru,adyen.com:BalancePlatformService,2,Configuration API,True,https://api.apis.guru/v2/specs/adyen.com/BalancePlatformService/2/openapi.json,data/apis_guru/specs/0004_adyen.com_BalancePlatformService_2.json,2026-06-02T02:51:26+00:00,ok,,b9b512fa0dab50c9664a49b0e28d503dfd26e05ff854a17ba81202ac6e882142,311733
5,apis_guru,adyen.com:LegalEntityService,3,Legal Entity Management API,True,https://api.apis.guru/v2/specs/adyen.com/LegalEntityService/3/openapi.json,data/apis_guru/specs/0005_adyen.com_LegalEntityService_3.json,2026-06-02T02:51:27+00:00,ok,,42c7a8f89663ddad422e0d8c24f00492feeaf18bfb26103c34d4a71b1943eff0,228325
6,apis_guru,adyen.com:TransferService,3,Transfers API,True,https://api.apis.guru/v2/specs/adyen.com/TransferService/3/openapi.json,data/apis_guru/specs/0006_adyen.com_TransferService_3.json,2026-06-02T02:51:28+00:00,ok,,9e98283ab4506278d10387d64ba20177a380c3dbcf0f625f8fe7b823112a401a,85164
7,apis_guru,amadeus.com,2.2.0,Flight Offers Search,True,https://api.apis.guru/v2/specs/amadeus.com/2.2.0/openapi.json,data/apis_guru/specs/0007_amadeus.com_2.2.0.json,2026-06-02T02:51:28+00:00,ok,,15e9339b4ac6a5bcdb57ccb460f85c569e13df2970f89084f9a17cbcc0e66f1f,107534
8,apis_guru,amadeus.com:amadeus-airline-code-lookup,1.1.1,Airline Code Lookup API,True,https://api.apis.guru/v2/specs/amadeus.com/amadeus-airline-code-lookup/1.1.1/swagger.json,data/apis_guru/specs/0008_amadeus.com_amadeus-airline-code-lookup_1.1.1.json,2026-06-02T02:51:30+00:00,ok,,be46a8bcb027ffb3c799f3323f8db4243cc142c8aaf98ba43f9b0c1fc27be88c,8967
9,apis_guru,amadeus.com:amadeus-airport-&-city-search,1.2.3,Airport & City Search,True,https://api.apis.guru/v2/specs/amadeus.com/amadeus-airport-&-city-search/1.2.3/swagger.json,data/apis_guru/specs/0009_amadeus.com_amadeus-airport-_-city-search_1.2.3.json,2026-06-02T02:51:30+00:00,ok,,809f34993678a2798ad6cd9234032ac7aaa23dfded4d4304ea700ffc741b299e,21687
10,apis_guru,amadeus.com:amadeus-airport-nearest-relevant,1.1.2,Airport Nearest Relevant,True,https://api.apis.guru/v2/specs/amadeus.com/amadeus-airport-nearest-relevant/1.1.2/swagger.json,data/apis_guru/specs/0010_amadeus.com_amadeus-airport-nearest-relevant_1.1.2.json,2026-06-02T02:51:31+00:00,ok,,efd42794e04e14053622a60ddf1b681cf6323fc435e9368318f533041f48b312,24750
